5.1,3.5,1.4,0.2,Iris-001
4.9,3.0,1.4,0.2,Iris-002
4.7,3.2,1.3,0.2,Iris-003
4.8,3.0,1.4,0.1,Iris-004
4.3,3.0,1.1,0.1,Iris-005
5.8,4.0,1.2,0.2,Iris-006
5.7,4.4,1.5,0.4,Iris-007
4.8,3.1,1.6,0.2,Iris-008
5.4,3.4,1.5,0.4,Iris-009
5.2,4.1,1.5,0.1,Iris-010
5.5,2.3,4.0,1.3,Iris-011
6.5,2.8,4.6,1.5,Iris-012
5.7,2.8,4.5,1.3,Iris-013
6.7,3.1,4.4,1.4,Iris-014
5.6,3.0,4.5,1.5,Iris-015
5.8,2.7,4.1,1.0,Iris-016
6.0,2.7,5.1,1.6,Iris-017
5.4,3.0,4.5,1.5,Iris-018
6.0,3.4,4.5,1.6,Iris-019
5.7,3.0,4.2,1.2,Iris-020
5.8,2.7,5.1,1.9,Iris-021
7.1,3.0,5.9,2.1,Iris-022
6.3,2.9,5.6,1.8,Iris-023
7.7,3.8,6.7,2.2,Iris-024
7.7,2.6,6.9,2.3,Iris-025
6.0,2.2,5.0,1.5,Iris-026
5.8,2.7,5.1,1.9,Iris-027
6.8,3.2,5.9,2.3,Iris-028
6.7,3.3,5.7,2.5,Iris-029
5.9,3.0,5.1,1.8,Iris-030

